symbol,current_price,RVol
BAND-USDT,0.6396,0.6334015614937982
PHA-USDT,0.09274,0.6314850436662404
MANA-USDT,0.2835,0.6293154652901995
ELF-USDT,0.172,0.6292549343512204
HMSTR-USDT,0.0006161,0.6281201250222349
LEO-USDT,9.46,0.6275137308163307
ACT-USDT,0.03218,0.6222072142509771
SNX-USDT,1.1156,0.6171037537589102
MASK-USDT,1.284,0.6153657273933143
CSPR-USDT,0.009096,0.6152587489251629
FLM-USDT,0.02539,0.6115978637114788
PENGU-USDT,0.027696,0.611255621682779
RSR-USDT,0.005556,0.6061104733030507
AERGO-USDT,0.09506,0.6041648362356099
DYDX-USDT,0.5767,0.6029351817596288
FORTH-USDT,2.503,0.6008044645983026
SUSHI-USDT,0.6584,0.6001794341857581
ORDI-USDT,8.187,0.5951617516545216
XTZ-USDT,0.6738,0.5939925723869596
USTC-USDT,0.01112,0.5921649128681801
AXS-USDT,2.098,0.5882254254388636
USDC-USDT,0.9994,0.5877983351087096
CHZ-USDT,0.03867,0.5874169653213946
SD-USDT,0.5487,0.5858512542338719
SHIB-USDT,1.1787e-05,0.5833647927047525
ICE-USDT,0.005069,0.5808362887706487
SPURS-USDT,0.3879,0.5794186649480593
RIO-USDT,0.2331,0.5782572968325399
MLN-USDT,7.092,0.5761305000209279
BNB-USDT,946.4,0.5745054135844652
CAT-USDT,6.878e-06,0.5740678089896492
SWFTC-USDT,0.007694,0.5729320037066943
MERL-USDT,0.29753,0.570118400796313
BICO-USDT,0.08926,0.5699393991114203
S-USDT,0.237,0.5685619869697215
APT-USDT,4.016,0.5680483696257552
ZBCN-USDT,0.0038668,0.5673573233333049
LUNC-USDT,5.216e-05,0.5626314844280541
ZKJ-USDT,0.1303,0.5595514198262895
CRV-USDT,0.6612,0.5557378455862761
ICX-USDT,0.11269,0.5555069474242155
LRC-USDT,0.08237,0.5545288401938469
KAIA-USDT,0.1515,0.5537583527634068
MORPHO-USDT,1.6834,0.5520934628299953
ONE-USDT,0.009186,0.5519260552985875
COMP-USDT,40.76,0.549983640608209
T-USDT,0.01529,0.548525624583465
KDA-USDT,0.3377,0.5484907827003561
ORBS-USDT,0.01593,0.5484565945847107
ARKM-USDT,0.5227,0.5463803729588534
APE-USDT,0.5152,0.5459650843444671
NC-USDT,0.0169,0.5446262953096456
WAXP-USDT,0.01753,0.5427130908326067
BAT-USDT,0.1401,0.5413827278812704
SCR-USDT,0.2681,0.5388424137421506
ZRX-USDT,0.2364,0.5387976521777396
JTO-USDT,1.549,0.5377228070454928
BETH-USDT,3971.6,0.5366105953729037
MOODENG-USDT,0.14891,0.5346759133298371
RSS3-USDT,0.0375,0.5336226218969623
ETC-USDT,18.22,0.5331455482496732
ENS-USDT,19.942,0.5307048373299091
ZIL-USDT,0.0104,0.5305546314114541
ETHW-USDT,1.346,0.5305090757171433
ME-USDT,0.663,0.5304660726970849
SAFE-USDT,0.3682,0.5299636556565531
ACH-USDT,0.0176,0.5297369458200214
MAGIC-USDT,0.1716,0.5283996043734613
RPL-USDT,4.9,0.5257264454613025
THETA-USDT,0.7076,0.5241243562981343
ASTR-USDT,0.02173,0.520798894437769
BONK-USDT,1.9237e-05,0.5205316577797741
XRP-USDT,2.7462,0.5189025818703454
SLP-USDT,0.001573,0.5183235223612658
XAUT-USDT,3778.5,0.5171413277849067
LTC-USDT,103.73,0.5128269496085358
GODS-USDT,0.10023,0.5118854729771476
STRK-USDT,0.1172,0.506648332651989
CFX-USDT,0.14548,0.5041579122451669
XLM-USDT,0.35645,0.5041504008003784
TIA-USDT,1.406,0.5019478205637534
SC-USDT,0.002581,0.4985211743244999
PEOPLE-USDT,0.01663,0.4983064443323023
ENJ-USDT,0.06027,0.4976791224435229
WOO-USDT,0.06056,0.49113719132975214
WIN-USDT,4.867e-05,0.48986741516366866
CETUS-USDT,0.0741,0.4879581608511909
CRO-USDT,0.18942,0.4870632732906891
SAND-USDT,0.2616,0.4848957456086107
ACA-USDT,0.02358,0.4841191368402437
OM-USDT,0.1625,0.48307608986815964
GMT-USDT,0.03762,0.48008733394110564
1INCH-USDT,0.2362,0.47761188838583135
LPT-USDT,6.038,0.4764369084165807
SLERF-USDT,0.07605,0.47636971338188544
UNI-USDT,7.523,0.4742228262094408
JUP-USDT,0.4377,0.4717693088076792
SUI-USDT,3.1752,0.46996546462675626
SNT-USDT,0.02232,0.4693228233183924
AAVE-USDT,266.46,0.46773040105781427
TRUMP-USDT,7.468,0.46745085779122075
PYTH-USDT,0.14458,0.466228910401931
JOE-USDT,0.161,0.4585244530318172
TRA-USDT,0.3588,0.45395565008713334
W-USDT,0.10127,0.4514232249682593
FLUID-USDT,6.289,0.4513219801584122
FXS-USDT,2.06,0.4493127360027163
ALPHA-USDT,0.01538,0.4489824189607235
BOME-USDT,0.001625,0.4487808114770234
AIDOGE-USDT,8.99e-11,0.4481912008021229
STETH-USDT,3960.8,0.4481127780766415
SWEAT-USDT,0.002116,0.4414236266922247
DOGE-USDT,0.229,0.44136577648874115
METIS-USDT,12.9,0.4383883425723242
KSM-USDT,13.79,0.43831344987471454
KAITO-USDT,1.0167,0.4378164692200373
VRA-USDT,0.001127,0.4376459167437795
ATOM-USDT,4.098,0.4364865232229851
NEAR-USDT,2.763,0.435396320876217
PRCL-USDT,0.07015,0.433524929363885
NOT-USDT,0.001579,0.4331835128397665
DEGEN-USDT,0.00284,0.43180879725847376
WLD-USDT,1.2571,0.4278003280374149
ZETA-USDT,0.1654,0.42735236822512546
RENDER-USDT,3.422,0.42457015303072126
LQTY-USDT,0.6777,0.4229113300519184
ETH-USDT,3990.2,0.42148638497345614
PEPE-USDT,9.308e-06,0.42014970340167535
GMX-USDT,16.49,0.41962458420877524
MEME-USDT,0.002316,0.41909992369898036
ATH-USDT,0.06087,0.4181498976665872
TRX-USDT,0.33556,0.4116023794481911
TURBO-USDT,0.003417,0.41154260714991725
RVN-USDT,0.0114,0.41148554774741436
KNC-USDT,0.3259,0.4096762192329739
AR-USDT,5.752,0.40760398593771313
FIL-USDT,2.165,0.40559153251078256
ELON-USDT,8.98e-08,0.4035174982693228
DOT-USDT,3.919,0.40303717557345214
POR-USDT,0.818,0.39468773910033683
CATI-USDT,0.08284,0.39293708699856483
VELO-USDT,0.01275,0.3862666544175582
GEAR-USDT,0.002906,0.38489419895580884
DGB-USDT,0.007222,0.384462856908951
CTC-USDT,0.5452,0.3807718320499307
ARB-USDT,0.4164,0.37639072887571284
RDNT-USDT,0.01876,0.37611844277228146
LINK-USDT,20.73,0.3761100747867495
GAS-USDT,2.905,0.37533425606057125
MEW-USDT,0.00254,0.37492879411031477
J-USDT,0.09282,0.3743774796459339
NFT-USDT,4.358e-07,0.3723695698854318
RUNECOIN-USDT,0.0001375,0.37106333718473444
SSV-USDT,7.298,0.3693824491955602
RON-USDT,0.4534,0.36723200607882633
DAO-USDT,0.11,0.36567970302066366
ONDO-USDT,0.891,0.3600999934608284
OMI-USDT,0.0003165,0.3576302138467509
API3-USDT,0.7635,0.35460540687757436
CELR-USDT,0.006848,0.3528714014268344
BAL-USDT,1.0725,0.3485920107403245
BCH-USDT,543.2,0.34837305944547653
YFI-USDT,5155.0,0.3478760360406685
EIGEN-USDT,1.683,0.3466713369669159
LUNA-USDT,0.1345,0.3431655484366107
PIXEL-USDT,0.02703,0.3412162579912213
GHST-USDT,0.3963,0.3368821188334774
MENGO-USDT,0.1217,0.3368080408432462
ALGO-USDT,0.2073,0.3363990910535795
ZRO-USDT,2.346,0.33521434085947416
MEMEFI-USDT,0.00137,0.3309178313333006
BNT-USDT,0.636,0.329542062025763
OKB-USDT,188.66,0.32905215611633454
EGLD-USDT,12.54,0.3288005694898318
MINA-USDT,0.1578,0.3277843885449377
IMX-USDT,0.7037,0.3271730231837725
SKL-USDT,0.0227,0.32554811779485987
BIO-USDT,0.13422,0.3232419566706258
GALFT-USDT,1.328,0.3154847291099479
FLOKI-USDT,8.271e-05,0.31473743396922077
ULTI-USDT,0.001453,0.31471407762091375
NMR-USDT,15.62,0.3140720209421498
CLV-USDT,0.01727,0.3120504256296377
ADA-USDT,0.7803,0.30778585501219813
AEVO-USDT,0.09429,0.29755091707838244
DUCK-USDT,0.002361,0.29213653879176765
VELODROME-USDT,0.04217,0.29080119520740416
ZENT-USDT,0.009124,0.2895490308744553
UXLINK-USDT,0.12382,0.28924639828369775
DEP-USDT,0.00162,0.2883968843587896
ACE-USDT,0.457,0.285727400006868
GOAT-USDT,0.07981,0.28463999398424145
SATS-USDT,4.664e-08,0.2831015383131817
CELO-USDT,0.2499,0.2776199320063153
POLYDOGE-USDT,1.116e-09,0.275039106843939
VINE-USDT,0.05282,0.2745844212477517
DAI-USDT,0.9994,0.2740523802121537
AVAX-USDT,28.105,0.2542325269988402
CVC-USDT,0.08011,0.253710000294545
PNUT-USDT,0.2026,0.25013565062190346
LSK-USDT,0.3019,0.24672098421171101
BANANA-USDT,15.98,0.23104016049426626
PSTAKE-USDT,0.01797,0.2265519891876787
LOOKS-USDT,0.01351,0.21979265706360518
IOTA-USDT,0.1643,0.20806423244651026
DORA-USDT,0.01755,0.20800743720779433
AGLD-USDT,0.5494,0.20240803209872263
FET-USDT,0.5703,0.20221292226978574
XCH-USDT,8.763,0.1865718107137901
BADGER-USDT,0.8924,0.18309696757660482
FOXY-USDT,0.001732,0.1737785284025775
PENDLE-USDT,4.605,0.16980501830886569
ZEUS-USDT,0.1136,0.11921525085111515
OAS-USDT,0.00935,0.10295430108019595
